Date, Open, High, Low, Close, Volume
12/13/18, 201.43, 202.40, 199.5208, 202.13, 1831731
12/12/18, 200.60, 202.62, 199.70, 199.81, 1918966
12/11/18, 201.26, 202.00, 196.14, 197.46, 1828852
12/10/18, 198.36, 198.95, 193.64, 198.32, 1980356
12/07/18, 202.62, 204.37, 197.01, 198.24, 2254486
12/06/18, 199.61, 203.08, 198.19, 202.68, 2991766
12/04/18, 208.06, 208.55, 202.09, 202.20, 2698694
12/03/18, 211.21, 211.95, 207.05, 208.76, 2493640
11/30/18, 204.36, 207.92, 203.98, 207.92, 3171873
11/29/18, 203.87, 205.84, 202.66, 204.56, 1569231
11/28/18, 201.99, 204.35, 199.42, 204.34, 2184438
11/27/18, 199.12, 201.32, 196.7793, 200.69, 2079649
11/26/18, 198.57, 201.83, 197.32, 199.86, 2321035
11/23/18, 197.76, 198.6799, 196.79, 196.80, 999927
11/21/18, 199.68, 201.18, 198.66, 198.69, 1832769
11/20/18, 203.58, 204.135, 200.19, 200.51, 2677269
11/19/18, 207.83, 208.05, 204.371, 205.58, 3220380
11/16/18, 203.24, 209.77, 202.6037, 209.00, 2620428
11/15/18, 197.73, 205.13, 196.24, 204.91, 3157494
11/14/18, 200.80, 201.04, 196.29, 198.06, 2797664
11/13/18, 197.52, 200.88, 197.16, 198.37, 2168809
11/12/18, 200.57, 200.77, 196.50, 197.04, 2770021
11/09/18, 204.00, 204.00, 199.6974, 201.10, 2429281
11/08/18, 201.00, 204.2699, 200.73, 204.07, 2534048
11/07/18, 197.19, 201.40, 195.41, 201.29, 2444705
11/06/18, 193.27, 195.50, 193.00, 195.30, 1900381
11/05/18, 193.50, 194.56, 192.21, 193.25, 2886526
11/02/18, 193.66, 194.47, 191.60, 192.81, 3069676
11/01/18, 190.61, 193.21, 190.09, 192.22, 2242755
10/31/18, 190.70, 192.12, 189.665, 190.26, 2845097
10/30/18, 186.83, 190.08, 185.00, 189.81, 2919609
10/29/18, 187.85, 188.88, 183.16, 185.79, 2867556
10/26/18, 183.31, 186.655, 181.98, 184.95, 3546243
